age,age_group,gender,job_type,daily_social_media_time,work_hours_per_day,stress_level,sleep_hours,screen_time_before_sleep,coffee_consumption_per_day,weekly_offline_hours
56,Senior,Female,Unemployed,4.38,3.9,7.0,7.55,2.25,4,24.08
36,Adult,Female,Education,4.09,6.56,4.0,6.33,0.75,4,8.42
41,Adult,Female,Finance,2.2,10.15,9.0,6.09,0.89,4,8.73
61,Senior,Female,Education,1.45,6.42,6.0,6.98,0.0,3,14.09
55,Senior,Female,Finance,0.07,7.09,5.0,5.22,0.88,1,4.72
39,Adult,Female,Education,4.59,10.62,2.0,6.77,1.96,0,16.92
32,Young Adult,Female,Finance,2.71,5.4,7.0,7.18,0.24,2,23.09
61,Senior,Female,Student,2.48,7.67,10.0,7.38,1.02,2,13.48
38,Adult,Female,Health,3.09,7.09,8.0,8.0,1.69,2,3.35
42,Adult,Female,Finance,5.04,6.29,3.0,7.41,2.97,1,21.7
64,Senior,Female,Education,5.62,8.8,5.0,6.86,1.34,5,0.0
24,Young Adult,Female,Finance,2.96,11.02,3.0,6.95,0.71,0,11.02
25,Young Adult,Female,Unemployed,6.59,2.25,1.0,3.93,0.81,3,3.99
31,Young Adult,Female,Health,0.01,8.79,7.0,9.83,0.61,0,10.88
59,Senior,Female,Finance,5.17,7.07,6.0,9.67,0.56,1,30.66
21,Young Adult,Female,Health,2.83,6.0,2.0,8.87,0.02,2,12.54
46,Adult,Female,Education,3.79,7.14,4.0,6.69,0.28,2,7.0
35,Young Adult,Female,Unemployed,8.69,9.51,3.0,6.24,0.5,1,0.0
51,Senior,Female,Health,0.0,5.82,7.0,8.0,0.78,2,3.39
53,Senior,Female,Health,6.81,3.76,10.0,7.21,0.72,2,8.12
32,Young Adult,Female,Finance,2.01,2.31,2.0,5.6,0.55,3,0.0
25,Young Adult,Female,IT,0.9,4.81,8.0,6.07,0.63,0,15.08
38,Adult,Female,Health,4.7,10.21,9.0,5.62,0.0,1,4.15
35,Young Adult,Female,IT,2.62,7.95,3.0,8.11,0.48,2,11.91
41,Adult,Female,Unemployed,0.61,8.69,5.0,7.02,1.06,4,0.0
42,Adult,Female,Finance,1.48,6.98,7.0,5.26,0.0,1,16.33
46,Adult,Female,Health,1.45,3.68,10.0,7.66,1.03,2,13.2
32,Young Adult,Female,IT,3.52,7.41,6.0,7.06,1.22,3,1.59
42,Adult,Female,Unemployed,0.0,4.36,8.0,7.66,0.41,1,12.76
26,Young Adult,Female,Finance,1.51,5.12,4.0,5.34,0.72,0,14.2
41,Adult,Female,Education,3.3,5.16,6.0,6.91,0.36,1,12.95
61,Senior,Female,IT,5.41,7.18,6.0,7.28,0.38,2,0.0
25,Young Adult,Female,Student,6.3,6.74,6.0,7.08,1.03,2,15.99
28,Young Adult,Female,Education,2.7,6.35,8.0,7.95,0.66,3,16.11
52,Senior,Female,Unemployed,5.87,4.44,9.0,8.48,1.42,1,16.54
22,Young Adult,Female,Health,1.9,7.19,3.0,6.99,0.13,1,17.11
59,Senior,Female,Education,4.74,6.51,4.0,7.68,0.89,2,12.67
56,Senior,Female,Unemployed,2.25,6.39,7.0,7.96,1.74,3,1.82
45,Adult,Female,Student,3.24,8.5,7.0,3.6,0.0,4,5.15
24,Young Adult,Female,Education,2.47,7.35,3.0,6.53,1.66,4,12.58
26,Young Adult,Female,IT,2.03,1.51,10.0,5.87,0.71,4,7.5
25,Young Adult,Female,Education,1.42,3.94,6.0,7.64,1.46,3,0.0
29,Young Adult,Female,Finance,4.23,6.49,4.0,6.84,0.67,3,21.02
54,Senior,Female,Health,2.19,7.43,9.0,7.25,0.99,6,6.74
