age,age_group,gender,job_type,daily_social_media_time,work_hours_per_day,stress_level,sleep_hours,screen_time_before_sleep,coffee_consumption_per_day,weekly_offline_hours
56,Senior,Male,Unemployed,4.18,6.75,4.0,5.12,0.42,4,21.93
46,Adult,Male,Health,3.25,9.17,7.0,5.1,0.67,2,0.0
38,Adult,Male,Finance,1.51,6.43,5.0,5.52,1.52,5,0.0
28,Young Adult,Male,IT,3.34,11.02,4.0,3.95,1.03,1,13.51
57,Senior,Male,Education,0.0,6.82,5.0,6.76,1.34,4,18.05
41,Adult,Male,Education,3.77,8.64,10.0,7.92,1.26,4,12.77
39,Adult,Male,Finance,2.31,7.05,9.0,4.85,0.07,3,12.11
38,Adult,Male,IT,4.03,6.3,7.0,5.01,1.26,1,14.25
29,Young Adult,Male,Student,1.55,7.97,3.0,6.71,0.77,0,6.72
42,Adult,Male,Health,2.08,8.25,3.0,3.0,1.56,2,16.44
45,Adult,Male,Student,1.0,7.5,8.0,5.51,0.85,2,1.86
33,Young Adult,Male,Unemployed,0.77,2.2,7.0,4.96,1.17,3,16.98
54,Senior,Male,Education,1.75,6.3,4.0,8.04,0.91,3,13.08
26,Young Adult,Male,Unemployed,3.73,6.87,1.0,6.02,2.2,3,17.37
35,Young Adult,Male,Unemployed,0.55,4.87,5.0,5.43,0.86,2,11.54
21,Young Adult,Male,Unemployed,0.4,9.64,4.0,5.8,1.31,1,19.53
61,Senior,Male,Unemployed,1.63,7.97,1.0,4.79,0.69,4,21.95
52,Senior,Male,IT,4.59,7.41,1.0,6.64,0.85,3,5.22
53,Senior,Male,Student,0.4,5.17,4.0,8.25,0.27,1,11.13
57,Senior,Male,Health,3.76,6.68,3.0,5.38,0.99,4,17.27
61,Senior,Male,IT,1.46,9.15,9.0,5.1,3.0,1,12.69
27,Young Adult,Male,IT,0.0,8.36,4.0,5.72,1.68,2,0.48
65,Senior,Male,Finance,2.43,5.67,9.0,7.93,2.59,3,21.73
57,Senior,Male,Student,2.18,6.33,5.0,7.28,0.9,2,19.95
33,Young Adult,Male,Finance,2.88,9.04,6.0,4.7,0.0,0,12.78
64,Senior,Male,Finance,0.53,9.99,1.0,5.93,1.73,0,6.4
62,Senior,Male,Finance,4.2,3.02,7.0,6.81,0.0,0,0.0
58,Senior,Male,Unemployed,2.33,7.46,8.0,6.32,1.31,2,6.79
